,ABV,Beer Name,Beer Style,Brewery Name,name,creditCard,email,purchase,saleType,date
52,8.0,GRANITE STOUT,MIX OF AMERICIAN AND ENGLISH HOPS,604 BREWERY,Meza Group,3088085017234428,greenjulian@hotmail.com,76.49,draught,2019-04-16
53,5.0,NH ALE,MIX OF AMERICIAN AND ENGLISH HOPS,605 BREWERY,"Higgins, Cardenas and Kennedy",869972604798355,amorales@yahoo.com,10.41,bottles or cans,2019-04-06
54,5.0,WATERVILLE WHEAT,ENGLISH NOBLE,606 BREWERY,Underwood-Morgan,4529081312229,stewartwilliam@hotmail.com,82.48,draught,2019-01-19
55,6.6,WHITE PEAKS IPA,AMERICAN,607 BREWERY,Sims-Lyons,3158113629128344,adkinsarthur@yahoo.com,48.74,draught,2019-02-14
56,6.6,WINNI ALE,AMERICAN,608 BREWERY,"Taylor, Lloyd and Aguilar",3088511373952816,albert68@lawrence-warren.biz,77.67,draught,2019-02-11
57,9.2,WOOD DEVIL DOUBLE IPA,AMERICAN AND EURO,609 BREWERY,Coleman-Thompson,60441789637,timothy88@morris.com,65.85,draught,2019-04-05
58,7.4,FIRST SMOKED PORTER,AMERICIAN,610 BREWERY,"Decker, Wilson and Brown",210066586272145,udavis@howe.com,10.87,bottles or cans,2019-04-17
59,7.0,ICE OUT,BELGIAN,611 BREWERY,Vaughan-Daniel,3337792525603205,lindseyturner@walton.org,87.05,draught,2019-01-08
60,4.5,SUMMALIME,AMERICIAN,612 BREWERY,Marshall-Fernandez,349767747049645,sweeneyhannah@jones.biz,20.43,draught,2019-03-15
61,4.5,SUMMATIME PALE ALE,AMERICIAN,613 BREWERY,"Turner, Juarez and Barnes",4107899971187,diazronald@gmail.com,17.65,draught,2019-02-10
62,8.2,TOASTED PUMPKIN ALE,AMERICIAN AND ENGLISH,614 BREWERY,"White, Reese and Arnold",4707246703256,leedaisy@simmons-gutierrez.org,40.4,bottles or cans,2019-01-11
63,6.2,EAGLE IPA,AMERICIAN IPA ,TROUT TOWN,Evans LLC,4048210894501098,wjones@yahoo.com,44.11,draught,2019-02-23
64,5.0,AMERICIAN AMBER ALE,AMERICIAN,TROUT TOWN,Villa Inc,869930676434762,jason24@gardner-anderson.com,72.45,draught,2019-04-13
65,7.5,RAINBOW RED ALE,INDIA RED,TROUT TOWN,"Cruz, Barrett and Fisher",4115398853010199,joshuahoffman@gmail.com,47.82,draught,2019-02-10
66,5.5,BROWN ALE,AMERICIAN,TROUT TOWN,Ewing and Sons,6011879049056030,fglenn@hotmail.com,24.0,bottles or cans,2019-03-22
67,6.6,TWO RIVERS RYE,AMERICIAN,TROUT TOWN,Perkins Ltd,30192367132296,olsenadam@green.com,37.51,draught,2019-03-11
68,8.0,TWO HEADED STOUT,ENGLISH,TROUT TOWN,"Jones, Perez and Cole",3112101128292245,destiny15@wallace-moore.info,76.89,draught,2019-01-22
69,8.0,DARWIN'S THEORY,ENGLISH,TROUT TOWN,Floyd Group,30570877809646,hancockphilip@wiley.net,33.86,draught,2019-01-18
70,9.5,WHITTLE WEE HEAVY,ENGLISH,TROUT TOWN,Garcia-Leon,4754420478628,kristi17@rodgers-morris.biz,78.91,draught,2019-01-13
71,4.5,LOGGER,BOHEMIAN,TROUT TOWN,Martin-Carlson,6011247468571287,kathryn33@johnson.info,83.27,draught,2019-01-09
72,4.8,SUMMER BLONDE,NA,TROUT TOWN,Riley PLC,4423224303743,brentbarajas@hotmail.com,61.47,draught,2019-02-03
73,4.6,BEE HEAD,"Honey colour, flavoured with Sussex Downs Blossom Honey",1648 BREWERY,"Benson, Smith and Stevenson",4423155549717604,cdean@gmail.com,31.49,draught,2019-02-13
74,3.8,FESTIVALE,Copper colour with a refreshing fruity flavour,1648 BREWERY,"Hayes, Vance and Anderson",869934742446636,patricia86@reyes.com,43.33,bottles or cans,2019-04-26
75,5.0,GOLD ANGEL,"Bright Gold, Full bodied flavour with a gentle citrus hop flavour",1648 BREWERY,Bush and Sons,4967640718082,davidsutton@hotmail.com,87.81,bottles or cans,2019-02-25
76,3.7,HOP POCKET,"Light India pale ale, clean, hoppy and refreshing",1648 BREWERY,Jacobs-Tucker,6011343518820988,eperez@hotmail.com,57.34,draught,2019-03-10
77,4.2,LAMMAS ALE,"Clear amber, celebrating the first harvest ",1648 BREWERY,Hampton Group,3096955150599680,eric14@yahoo.com,20.77,bottles or cans,2019-02-24
78,4.4,SIGNATURE,"Very Pale, Sweet and malty ",1648 BREWERY,Morgan-Fleming,3337080082881103,danielwilliams@beasley-murphy.net,38.88,bottles or cans,2019-02-05
79,5.0,BIG BRO APA,American pale ale,4T's BREWERY,Hall and Sons,345049869053000,lserrano@donovan-brown.biz,8.67,draught,2019-04-24
80,7.2,BIG DADDY IPA,Strong hoppy IPA,4T's BREWERY,Perez PLC,210052619871160,michael46@yahoo.com,77.5,draught,2019-04-08
81,4.6,PILSNER,Cask Pilsner,4T's BREWERY,Fowler Inc,3096082589629929,emilygreen@yahoo.com,60.69,draught,2019-01-17
82,4.1,WALKERS RESURRECTION,Old ale,4T's BREWERY,"Robinson, Johnston and Valdez",4351359627548412,amendez@yahoo.com,49.04,bottles or cans,2019-02-14
83,4.2,WARRINGTON SPECIAL BITTER,Fruity bitter with a deep bitter after taste,4T's BREWERY,Moyer LLC,639054559864,amberramos@yahoo.com,46.45,draught,2019-01-07
84,4.0,DARK,Dark Ruby Ale with an inviting of roast malt and fruit,9 LIVES,Guerrero PLC,4276544900618,jenniferolson@weber-williams.com,75.34,draught,2019-02-06
85,4.6,CASUAL,Bold complex stout using unrefined chocolate,ABSTRACT JUNGLE,Taylor-Rojas,30077423594250,jeffrey05@yahoo.com,86.56,draught,2019-03-20
86,4.4,EASY AMERICAN BROWN,Biscuit caramel & chocolate notes with subtle cascade flavours,ABSTRACT JUNGLE,Figueroa-Jones,4505820111106,thomas17@smith-brown.info,90.0,draught,2019-04-23
87,4.2,JACKAL,Traditional porter made with four different malts,ABSTRACT JUNGLE,Ortiz and Sons,4689681072647,jilliancarr@fleming.info,46.63,draught,2019-04-26
88,4.2,LIFE OF BRIAN,Chocolate vanilla porter brewed for Brian Moore's 78th birthday,ABSTRACT JUNGLE,Martinez Ltd,5281638399252044,timothy25@yahoo.com,47.67,draught,2019-03-24
89,3.9,PRIDE,Crisp and clean pale session bitter,ABSTRACT JUNGLE,"Fletcher, Spencer and Caldwell",374818667778230,brianahamilton@gmail.com,35.01,draught,2019-01-09
90,4.5,RESTLESS,Hop hitter with bags of Simcoe and Amarillo hops,ABSTRACT JUNGLE,Copeland-Lee,639032576097,nrogers@brown.com,78.86,bottles or cans,2019-04-13
91,5.2,SALLY POLLARDS ABSTRACT MAIDEN,Strong pale ale brewed with the help of the Festival Cellar team,ABSTRACT JUNGLE,Robinson-Vargas,4215761669097552,david80@hotmail.com,33.92,draught,2019-04-17
92,5.6,STURDY IPA,A classic style IPA using big hitting American hops,ABSTRACT JUNGLE,"Williams, Goodman and Morris",4748275281424579,psimmons@harrison-brown.info,73.41,draught,2019-04-03
93,5.0,ERNEST IPA,"Rich, complex golden ale,  apricot, citrus & spice characteristics",ACORN,Norman-Shaw,4276742718499,nunderwood@kim.biz,63.07,bottles or cans,2019-03-29
94,4.5,RED OAK,"Rich red coloured, smooth & malty, citrus fruit & spice aromas",ACORN,"Salazar, Harris and Webster",5144649980077788,jordanmichelle@watkins.com,0.61,draught,2019-02-08
95,3.7,BLACK X BITTER,Bitter / Mild hybrid,AIRE HEADS,Moore-Hall,3088798824982514,arellanopatrick@thomas.net,19.56,bottles or cans,2019-04-26
96,4.6,KIRBY YOUR ENTHUSIASM,Full flavoured pale,AIRE HEADS,Knight LLC,60498172646,mannlisa@yahoo.com,77.51,bottles or cans,2019-01-20
97,4.3,5IVE SISTERS,Amber best bitter,ALECHEMY,"Parker, Nelson and Delgado",3528362130154694,crawfordwilliam@yahoo.com,17.2,bottles or cans,2019-01-08
98,4.5,BAD DAY AT THE OFFICE,Pale session IPA,ALECHEMY,Simpson Inc,376660848256225,jeanetteburgess@hotmail.com,38.75,draught,2019-03-07
99,5.0,BLACK CHERRY SAISON,Black fruit saison,ALECHEMY,"Harper, Patrick and Richards",4913535442412,amandastewart@gmail.com,50.6,bottles or cans,2019-03-05
100,3.7,CHARISMA,Mosaic hop session bitter,ALECHEMY,"Guerrero, Benson and Johnson",4156259661649,gregoryjohnson@cochran.com,4.36,bottles or cans,2019-02-01
101,4.3,PHOTON,Session IPA,ALECHEMY,Davenport-Gonzales,4760561833299,vstevens@gmail.com,93.72,draught,2019-04-17
102,5.0,SECRET CITRA,Pale IPA with Vic Secret and Citra hops,ALECHEMY,"Bradley, Cordova and Howell",6011922232822485,hmurphy@yahoo.com,91.67,bottles or cans,2019-03-07
103,4.2,SOUTH PACIFIC PALE ,NZ and Australian hopped IPA,ALECHEMY,Brown Inc,30276609779632,wtownsend@jackson-johnson.biz,51.37,draught,2019-02-01
104,4.5,TEN STOREY MALT BOMB,80 shilling ale with heavy malt character,ALECHEMY,"Romero, Newton and Brown",348578376501561,garyporter@woods-nunez.biz,71.95,bottles or cans,2019-03-03
105,3.5,VORTEX,Session pale ale  ,ALECHEMY,Martin Group,6011461160091540,monique08@price.com,31.73,bottles or cans,2019-04-19
106,5.6,BARREL AGED WHISTLE PIG RYE,Sweet rye ale aged in Whistle Pig Rye casks for two months,ALPHABETA,Powers-Robinson,210040671644427,melissa71@gmail.com,12.47,draught,2019-01-06
107,3.8,BEST BITTER,"Traditional English hopped Best bitter, light and sessionable.",ALPHABETA,Harrison-Villarreal,5227129908327896,stevensonchristopher@white.com,26.27,draught,2019-01-02
108,5.5,CARDINAL IPA,English style IPA with Cardinal hops,ALPHABETA,Lee-Ponce,4844407681240346,mcphersonjustin@hotmail.com,94.08,bottles or cans,2019-03-10
109,5.8,WILD HOP RYE,"Hop heavy, with rye malts & wild green hops foraged in London",ALPHABETA,Foster-Moyer,6011405492710392,houstonmichael@lowe.net,60.79,draught,2019-02-03
110,5.2,ADHME ,American Pale Ale with multi -layered grain flavours,ANGELS AND DEMONS,Boyd LLC,4305067842460951,kathryn14@yahoo.com,66.44,draught,2019-04-19
111,3.8,BOMBAY SOCIAL ,"Social session IPA, light in character with huge Hop loveliness",ANGELS AND DEMONS,"Kline, Stout and Conrad",6011099548753157,diamond05@hotmail.com,39.0,draught,2019-04-03
112,3.7,McCANNS HARRY HOP ,"Dry hopped for extra aroma, Harry Hop is a true session beer",ANGELS AND DEMONS,Kelley-Jackson,3112230718725791,christina08@gmail.com,31.48,draught,2019-04-22
113,4.2,McCANNS HOCKLEY SOUL ,Heart warming soulful Stout,ANGELS AND DEMONS,Webb-Landry,5139494321155176,christophersmith@hotmail.com,11.21,draught,2019-04-17
114,5.0,FERAL NUN,Dark Ruby with oatmeal head,ANGLES,Mcbride and Sons,210064795352915,matthew50@hotmail.com,77.75,bottles or cans,2019-01-08
115,4.4,GOAT TOSSER,"Old English, ruby traditional bitter",ANGLES,Herrera-Mclean,869931738337522,lisa73@allen-kennedy.org,68.63,draught,2019-01-07
116,5.0,DORT WHEAT,New wheat beer,ASHLEY DOWN,Anderson-Miller,4800856721908977,lmarquez@hotmail.com,93.69,draught,2019-02-11
117,4.0,HARVEST GAMBLE,English pale ale,ASHLEY DOWN,"Martinez, Rodriguez and Romero",4723833428371,aprilwatkins@nelson.com,64.15,bottles or cans,2019-03-07
118,4.5,2 BRIDGES,"Amber ale, full bodied citrus hoppy flavour",BAA BREWING,"Richardson, Moore and Dunn",4534735510355991,wsnyder@long.net,43.29,draught,2019-02-09
119,4.0,BAA BEST,English best bitter,BAA BREWING,Horne Group,210014710207975,reedjamie@hotmail.com,74.0,bottles or cans,2019-03-17
120,5.9,I'M BRIAN AND SO'S MY WIFE,Rhubarb and Juniper saison,BAKERS DOZEN,Green-Jones,4290973020590,juanweber@yahoo.com,93.7,draught,2019-04-08
121,3.8,MAGIC POTION No. 6,Citra and Ella hopped pale ale,BAKERS DOZEN,Flores-Hill,180035678800879,carlos09@cervantes-smith.net,54.69,draught,2019-01-05
122,5.5,THE TURK,Turkish delight in a glass! Chocolate & Rose porter,BAKERS DOZEN,Fox-Donovan,210014379311217,manuelcarson@silva-cohen.com,35.79,draught,2019-04-17
123,5.2,BLACK PIET,"Dark ale, velvety maltiness and rich plum & blackcurrant flavour",BARN OWL,Weiss-Scott,4902917815801150,johnsonian@wilson-wright.biz,49.88,bottles or cans,2019-01-07
124,4.0,GOLDEN GOZZARD,"Golden summer ale, crisp bitterness and refreshing fruityness",BARN OWL,Hernandez Inc,869969318077811,jenniferwatkins@allen.com,90.85,bottles or cans,2019-02-03
125,4.4,GOZZARDS GUZZLER,"Dark best bitter, full bodied and malty with a fruity finish",BARN OWL,Welch LLC,30089253048265,shannonchambers@yahoo.com,36.28,bottles or cans,2019-01-08
126,4.2,MIDSUMMER,Golden summer ale ,BARUM,Griffin Ltd,869966809631536,butlerloretta@aguirre.com,96.36,draught,2019-01-10
127,4.4,ORIGINAL,"English bitter, light bitterness, smooth finish",BARUM,Gibson Inc,4197710961431995,james30@scott.net,63.31,draught,2019-02-08
128,5.0,LEGLESS RAMBLER,English bitter brewed with Bramling Cross hops,BEACHY HEAD,Mcconnell Inc,4212977686904876,robertcamacho@nelson.com,97.75,bottles or cans,2019-02-23
129,5.0,PARSONS PORTER,"Porter containing Pale, Crystal, Chocolate and Wheat malts",BEACHY HEAD,Pollard Ltd,180068607339958,timothysmith@gmail.com,10.6,bottles or cans,2019-02-25
130,4.0,ARE YOU WITH ME,Citra red ale,BEATH,Prince Group,6011924488222881,acannon@gmail.com,43.13,bottles or cans,2019-03-22
131,4.5,ELLA ELLA ELLA,Cask lager using Ella hops,BEATH,Wilson PLC,6011750168654006,marcus70@henderson-peterson.org,53.36,bottles or cans,2019-04-10
132,4.5,MAD WORLD,"Porter, dark chocolate and coffee notes",BEATH,"Ray, Lopez and Duncan",6011107790564386,franciscomontgomery@yahoo.com,78.06,bottles or cans,2019-03-15
133,7.4,UNICORN INVASION OF DUNDEE,"Double Imperial IPA. Mosiac, Citra and Ekaunot hops",BEATH,"Lozano, Coleman and Miller",4314744041898061,trobinson@yahoo.com,82.45,draught,2019-02-16
134,4.0,BENCHMARK,"Amber ale, sweet fruity notes, with hints of chocolate and malt",BEDLAM,"Bryant, Jackson and Perry",344022312352569,stevensemily@james.biz,16.52,bottles or cans,2019-02-25
135,4.4,MOSAIC SMASH,Single malt and single hopped Mosaic ale,BEDLAM,Brady-Rose,30167141113366,kmedina@stewart.org,30.08,bottles or cans,2019-04-14
136,5.2,BLACKBEERBLE STOUT,"Not your average stout, just chocolate crystal and aromatic malts",BEERBLEFISH,"Sharp, Tapia and Brown",4008474117909,juliemoore@martinez.com,58.57,draught,2019-02-01
137,5.5,EXTRA EXTRA SPECIAL BEERBLEFISH (ESB),ESB aged for four months in a bordeaux cask,BEERBLEFISH,Collins PLC,5239018623217886,williamsonsteven@yahoo.com,14.21,bottles or cans,2019-02-17
138,5.0,DELTAFISH,"Light pale, with fruit, flora and pine notes",BEERBLEFISH,Floyd LLC,4175019082437659,charlesadams@yahoo.com,81.48,draught,2019-02-13
139,4.6,ACE OF SPADES,"Aromatic porter, hopped with Sorachi Ace",BEESTON HOP,Goodwin PLC,4432476201868819,patricia91@wright.com,6.1,bottles or cans,2019-03-21
140,4.3,BEAVER BITTER,"Light chestnut, smooth, full flavoured beer    ",BELVOIR,Lee-Martin,869943352728670,qrichardson@lopez.net,65.27,bottles or cans,2019-01-17
141,4.2,BLUE BREW,Brewed with whey from stilton cheese,BELVOIR,Martinez Inc,347767946733850,crawfordgary@yahoo.com,75.94,bottles or cans,2019-02-19
142,3.4,DARK HORSE,Acclaimed dark mild,BELVOIR,Beard-Klein,342908008915515,smithwhitney@carlson.net,93.93,draught,2019-04-11
143,4.1,GORDON BENNETT,"Dry, malty session bitter",BELVOIR,Wong LLC,5565281591099066,sreynolds@bean-mcdaniel.com,86.43,draught,2019-03-23
144,4.3,OATMEAL STOUT,A dark creamy brew,BELVOIR,Cardenas Ltd,3337809397932973,pmartin@bennett.com,29.6,draught,2019-02-08
145,5.1,OLD DALBY,A ruby red strong ale,BELVOIR,Miller-Hill,30432353421133,brianlee@mosley-brown.com,99.1,bottles or cans,2019-02-07
146,3.9,STAR BITTER,"Crisp, golden amber ale",BELVOIR,"Thompson, Yang and Bailey",869931007414432,greenealexander@yahoo.com,88.59,draught,2019-03-07
147,3.6,WHIPPLING GOLDEN BITTER,Light-golden crisp summer ale,BELVOIR,Mitchell-Saunders,4206028839791154,dfisher@fisher.com,58.62,bottles or cans,2019-04-18
148,4.8,MONEY FOR OLD ROPE,"Dark stout, dry flavours of malt & grain with deep hop bitterness",BESPOKE,Perez-Goodman,30377759915149,sscott@guerrero.net,73.82,draught,2019-01-24
149,5.0,OVER A BARREL,"Strong, richly coloured, fruity ale, peppery finish from goldings ",BESPOKE,"Mack, Smith and Robinson",869909671519918,jeffrey15@cardenas.com,55.68,bottles or cans,2019-02-16
150,5.6,DIVIDER,Session Pale ale,BEXAR COUNTY,Bailey-Evans,4063578446529415,anna34@yahoo.com,0.96,draught,2019-05-02
151,4.7,EL HEFE,A traditional Hefeweisen,BEXAR COUNTY,Brown Inc,3528956506752070,walshnicole@smith-conner.org,10.49,bottles or cans,2019-02-03
152,3.8,RASPBERRY TIMANFAYA,Raspberry infused kombucha soured brown,BEXAR COUNTY,Rivas-Wilson,210085483224090,dillongarza@sherman-perry.org,71.44,draught,2019-03-28
153,4.2,BEXLEY'S OWN BEER,Well balanced amber pale ale with UK and NZ hops,BEXLEY,Riddle Group,6011151190302989,austin54@matthews.com,71.07,bottles or cans,2019-02-10
154,4.0,GOLDEN ACRE,Golden Ale using Ella hops for a sharp hop flavour,BEXLEY,Anderson Inc,4856082302705962,dennisjustin@gmail.com,16.5,draught,2019-04-22
155,4.5,OLD MILL,Dark best bitter made with UK hops,BEXLEY,Mendoza Inc,4672010364988798,hjohnson@valenzuela-mccarty.org,20.42,draught,2019-03-30
156,3.9,POLYGON WOOD,Red rich and malty with 4 C' hops ,BIG HAND,"Harris, Cobb and Cooper",4158719981529883,jeffreysmith@wagner.com,93.81,bottles or cans,2019-03-05
157,3.7,SEREN,Welsh pale ale,BIG HAND,Gonzales-Harris,4973876792065227,kylierobinson@williams.info,78.9,bottles or cans,2019-04-16
158,4.5,SPECTRE,"Espresso stout, tastes of liquorice and toast",BIG HAND,Flores PLC,6011825021141720,alvaradophilip@yahoo.com,91.08,bottles or cans,2019-01-06
