date,Unnamed: 0,ABV,creditCard,purchase,totalSales
2019-03-28,1791,18.0,10235092664282990,160.91,1609.1
2019-03-29,7534,39.199999999999996,21462964939786208,310.46999999999997,3104.7
2019-03-30,3775,30.1,29702966634197740,435.64000000000004,4356.400000000001
2019-03-31,2042,9.7,874109782709913,61.010000000000005,610.1
2019-04-01,2892,24.0,8561966701155717,238.94,2389.4
2019-04-02,3763,17.499999999999996,10296639605762332,221.67000000000002,2216.7000000000003
2019-04-03,416,14.399999999999999,10760005273165520,117.47,1174.7
2019-04-04,4331,27.7,19117364630811348,322.66,3226.6000000000004
2019-04-05,1970,29.2,6900476233486524,257.94999999999993,2579.499999999999
2019-04-06,6097,32.3,11632945200149860,301.44000000000005,3014.4000000000005
2019-04-07,2646,13.1,4611597056239549,203.82999999999998,2038.2999999999997
2019-04-08,6308,60.6,28244013394431552,518.92,5189.2
2019-04-09,3791,20.0,12963718117642660,190.76,1907.6
2019-04-10,3453,22.799999999999997,14792023149746530,182.01,1820.1
2019-04-11,142,3.4,342908008915515,93.93,939.3000000000001
2019-04-12,4564,27.4,6664148064953115,268.34000000000003,2683.4000000000005
2019-04-13,4601,31.3,21347216250662056,442.67,4426.7
2019-04-14,2624,23.5,16636807886719546,251.38,2513.8
2019-04-15,1499,12.0,5280431174288840,118.69,1186.9
2019-04-16,688,13.7,3958037079893339,90.39999999999999,903.9999999999999
2019-04-17,4181,38.1,13881124901595736,305.09999999999997,3050.9999999999995
2019-04-18,5139,27.299999999999997,8096339627068440,255.83999999999997,2558.3999999999996
2019-04-19,2225,19.400000000000002,11191098648686292,151.89999999999998,1518.9999999999998
2019-04-20,2711,24.0,5591593822730403,114.69,1146.9
2019-04-21,4776,18.5,12390946452860996,248.55999999999997,2485.6
2019-04-22,2342,29.1,11934768586611374,287.08000000000004,2870.8
2019-04-23,3408,20.900000000000002,9457543752411430,291.57000000000005,2915.7000000000007
2019-04-24,1876,15.7,559195061710793,54.22,542.2
2019-04-25,5345,37.1,20850764441360588,507.93999999999994,5079.4
2019-04-26,7477,41.5,13401084240210392,398.97,3989.7000000000003
2019-04-27,4019,24.299999999999997,5329338186440925,200.4,2004.0
2019-04-28,2932,17.400000000000002,9058002603858836,201.83,2018.3000000000002
2019-04-29,2751,30.3,20890174993955276,363.4,3634.0
2019-04-30,3005,33.9,28127573540822952,366.57,3665.7
2019-05-01,5776,25.800000000000004,12733097096009688,320.89,3208.8999999999996
2019-05-02,3155,36.7,13082175789643054,341.28,3412.7999999999997
